Name,Activity name,Activity code,Amount
AFC,"electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",qkvb5g7i3grp16hjf7bok6od24qg67pz,1.0
ALKALINE_ELECTROLYSIS,"hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",w8drqrl72vllwlw5smshzfju94scht3r,1.0
AL_MAKING,"aluminium production, primary, ingot",b0a3fv9jpfgcoicfd4bccj9ez8wah0xx,1.0
AL_MAKING_HR,"aluminium production, primary, ingot",bxkd9al5csba20o164b52kt37ixvflx8,1.0
AN_DIG,anaerobic digestion of manure,je7huea624em2k1i0co9y8mqqzwag8ch,1.0
AN_DIG_SI,anaerobic digestion of manure,hp6drpk4ek06v5fdihkknx7zqfy31tko,1.0
ATR,"hydrogen production, auto-thermal reforming",unyczxwgao9hx06dywz8ocrzrgeutlui,1.0
ATR_CCS,"hydrogen production, auto-thermal reforming, with CCS",rvccf6dtd4s7qf8xcberd0f1iudz2p9h,1.0
BIOGAS_ATR,"hydrogen production, auto-thermal reforming, from biomethane",mqd4z0zwncm2z4cgd6atj0jp09ns2z6v,1.0
BIOGAS_ATR_CCS,"hydrogen production, auto-thermal reforming, from biomethane, with CCS",qgcyrdtiv2rbvnp45rtfwftbc3744ofm,1.0
BIOGAS_BIOMETHANE,"biomethane production, from biogas upgrading, using amine scrubbing",03nywzm5mym5pvusq9ep2ugpn6vi9zkr,1.0
BIOGAS_SMR,"hydrogen production, steam methane reforming, from biomethane",v8dappvt5xm88on3ryvvkbsbghpde7se,1.0
BIOGAS_SMR_CCS,"hydrogen production, steam methane reforming, from biomethane, with CCS",2zsf86opqdq24xoydf6mfiuz71l2qd0f,1.0
BIOMASS_GAS_EF_H2,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",nwpnluc1nvtfceet306e6d8efpiyibve,1.0
BIOMASS_GAS_EF_H2_CCS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",drbux38z9tsgfpf148l461apfbhf4m26,1.0
BIOMASS_GAS_FB_H2,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",uyoy2w6pieboexeusmbhjfxjbcj7icku,1.0
BIOMASS_GAS_FB_H2_CCS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",dlcu5ytfeaeecaaqauht5njqegfphacv,1.0
BUS_BIODIESEL_B100_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",15c6zef7i23ku8tatim9475cu1chhstw,1.0
BUS_BIODIESEL_B20_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",5pmoyekjku5q02eczsnv74cw0938s4m8,1.0
BUS_CNG_SD,"transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",1p53rs1ju2af1ptsaz1u254pcpfr9ls5,1.0
BUS_DIESEL_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",xtfyd9a1a9p2g9n5ik642sopsqjmv7zn,1.0
BUS_EV_SD,"transport, passenger bus, battery electric - overnight charging, 13m double deck urban bus",lti29nr6i5zttv00bmk989wwd24txl4j,1.0
BUS_FC_CH4_SD,"transport, passenger bus, fuel cell electric, 13m double deck urban bus",dtnmrmbu797ozy0romhrfk4pzsrspq9h,1.0
BUS_FC_H2_SD,"transport, passenger bus, fuel cell electric, 13m double deck urban bus",911qrqe501hf9u7qi6k6x76spsemezxn,1.0
BUS_GASOLINE_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",jy3axpg43slrrcnd4pl3ynmjvu622ol6,1.0
BUS_HY_DIESEL_SD,"transport, passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI",kxu2dxhwg9onc1lnuyqlotkyn0m93z1u,1.0
BUS_PROPANE_SD,"transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",7fv5xu6yhs2bl212o54whs4zomjq3zxg,1.0
CAR_BIODIESEL_B100_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",6sxy7b8j2kicmobd4hqz15n741aupl1x,1.0
CAR_BIODIESEL_B100_LD,"transport, passenger car, diesel, Medium, EURO-6ab",tv09b04ucn5drdypywni9gv70m298h9l,1.0
CAR_BIODIESEL_B100_MD,"transport, passenger car, diesel, Medium, EURO-6ab",tq7m7wlhe385hrv92e35x9bj69stpfx9,1.0
CAR_BIODIESEL_B100_SD,"transport, passenger car, diesel, Medium, EURO-6ab",ulvna6ku8j2oe8m22qn8invnn52tzmoq,1.0
CAR_BIODIESEL_B20_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",x6sfzipriu1gxs3i559v864jd1o6tzch,1.0
CAR_BIODIESEL_B20_LD,"transport, passenger car, diesel, Medium, EURO-6ab",9pzyku4z83rrd45ndscd6l88zkmtbuf8,1.0
CAR_BIODIESEL_B20_MD,"transport, passenger car, diesel, Medium, EURO-6ab",0w90ylwx6dr5tk1jtz4eauulcwgrzcmb,1.0
CAR_BIODIESEL_B20_SD,"transport, passenger car, diesel, Medium, EURO-6ab",3hz5jwe9nvjckuu3cs53ewcnxum50fuo,1.0
CAR_CNG_ELD,"transport, passenger car, compressed gas, Medium, EURO-6ab",71r6esgal1q0vkyzhj21ktghyabazk62,1.0
CAR_CNG_LD,"transport, passenger car, compressed gas, Medium, EURO-6ab",r24wq268vmab55ttml552dcxz33dgs5v,1.0
CAR_CNG_MD,"transport, passenger car, compressed gas, Medium, EURO-6ab",z8fn04le1n3wk6p2hmxf2rfhiwydjk9l,1.0
CAR_CNG_SD,"transport, passenger car, compressed gas, Medium, EURO-6ab",l611m8azmusdkxcscqtnuk029n1egy9w,1.0
CAR_DIESEL_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",vmi343t8k6agufqcmtz44tpp4zdp8mh1,1.0
CAR_DIESEL_LD,"transport, passenger car, diesel, Medium, EURO-6ab",lb7qxriecruwtrwq97f5lzdkdz8at44k,1.0
CAR_DIESEL_MD,"transport, passenger car, diesel, Medium, EURO-6ab",9cwrp80usblicnpkc5lbq71wz0x543m0,1.0
CAR_DIESEL_SD,"transport, passenger car, diesel, Medium, EURO-6ab",pmu79rhaclla2itpnwljyyt6htqd47or,1.0
CAR_ETOH_E10_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",5gsj99vd1envkd833s0q30xc5bsb9n4a,1.0
CAR_ETOH_E10_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",i6wfoyuez5winn2tw8q5rmc5paoek6f2,1.0
CAR_ETOH_E10_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",056033dzfqs1r3jhe1gtzje4hr5vwhzu,1.0
CAR_ETOH_E10_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",8ayehf86wpujrjtujtyjeyu38ljrjomp,1.0
CAR_ETOH_E85_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",a8dygbv7k4u8z4eoydfej3m06iqezqbo,1.0
CAR_ETOH_E85_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",nm0dxhxfqqjqp0lb79x0n4aeus4ttmm0,1.0
CAR_ETOH_E85_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",kopqi8ei0e5bnfbne10iesl9zyfk3dzz,1.0
CAR_ETOH_E85_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",9bp6t293nduzus6dapgzkx3sj7tl7tvd,1.0
CAR_EV_ELD,"transport, passenger car, battery electric, Medium",qtt0idwreilialcx14zlg1sjxbg113gk,1.0
CAR_EV_LD,"transport, passenger car, battery electric, Medium",sx21eqxx0xrauzq0fdulcfhgx04wlh4g,1.0
CAR_EV_MD,"transport, passenger car, battery electric, Medium",ew7c523eqggo08mclyfhb5cpm4zd36dq,1.0
CAR_EV_SD,"transport, passenger car, battery electric, Medium",vzmyf5pm2cqbxwmx0irn8q8x70nfqhgt,1.0
CAR_FC_CH4_ELD,"transport, passenger car, fuel cell electric, Medium",fjcryltmyza3ni59c8ipazuw4z0r77t1,1.0
CAR_FC_CH4_LD,"transport, passenger car, fuel cell electric, Medium",kwxnffevt7sdhcjeb2pbry0j3cra96c5,1.0
CAR_FC_CH4_MD,"transport, passenger car, fuel cell electric, Medium",u1ujw749ilmfoje1ezp3n1htroncbhxj,1.0
CAR_FC_CH4_SD,"transport, passenger car, fuel cell electric, Medium",myyfynfrubc21gyihrejw759zzsg0fis,1.0
CAR_FC_H2_ELD,"transport, passenger car, fuel cell electric, Medium",xqpy3nufw2k0mydnfrllovn0z60oqh1p,1.0
CAR_FC_H2_LD,"transport, passenger car, fuel cell electric, Medium",ehoortg550c9ym7fxuuh6avu3cctfy9p,1.0
CAR_FC_H2_MD,"transport, passenger car, fuel cell electric, Medium",1u1yk9kodm6zh4dat9rcvf9fk227m0kt,1.0
CAR_FC_H2_SD,"transport, passenger car, fuel cell electric, Medium",7c09puuf011r5tmb1hz98btr8ewa9gtz,1.0
