Name,Flow,Amount
CUMENE_PROCESS,BENZENE,1
BUS_BIODIESEL_B100_SD,BIO_DIESEL,1
BUS_BIODIESEL_B20_SD,BIO_DIESEL,1
CAR_BIODIESEL_B100_ELD,BIO_DIESEL,1
CAR_BIODIESEL_B100_LD,BIO_DIESEL,1
CAR_BIODIESEL_B100_MD,BIO_DIESEL,1
CAR_BIODIESEL_B100_SD,BIO_DIESEL,1
CAR_BIODIESEL_B20_ELD,BIO_DIESEL,1
CAR_BIODIESEL_B20_LD,BIO_DIESEL,1
CAR_BIODIESEL_B20_MD,BIO_DIESEL,1
CAR_BIODIESEL_B20_SD,BIO_DIESEL,1
COACH_BIODIESEL_B100_ELD,BIO_DIESEL,1
COACH_BIODIESEL_B100_LD,BIO_DIESEL,1
COACH_BIODIESEL_B100_MD,BIO_DIESEL,1
COACH_BIODIESEL_B20_ELD,BIO_DIESEL,1
COACH_BIODIESEL_B20_LD,BIO_DIESEL,1
COACH_BIODIESEL_B20_MD,BIO_DIESEL,1
LCV_BIODIESEL_B100_MD,BIO_DIESEL,1
LCV_BIODIESEL_B100_SD,BIO_DIESEL,1
LCV_BIODIESEL_B20_MD,BIO_DIESEL,1
LCV_BIODIESEL_B20_SD,BIO_DIESEL,1
SCHOOLBUS_BIODIESEL_B100_SD,BIO_DIESEL,1
SCHOOLBUS_BIODIESEL_B20_SD,BIO_DIESEL,1
SEMI_LH_BIODIESEL_B100_ELD,BIO_DIESEL,1
SEMI_LH_BIODIESEL_B100_LD,BIO_DIESEL,1
SEMI_LH_BIODIESEL_B20_ELD,BIO_DIESEL,1
SEMI_LH_BIODIESEL_B20_LD,BIO_DIESEL,1
SEMI_SH_BIODIESEL_B100_MD,BIO_DIESEL,1
SEMI_SH_BIODIESEL_B20_MD,BIO_DIESEL,1
SUV_BIODIESEL_B100_ELD,BIO_DIESEL,1
SUV_BIODIESEL_B100_LD,BIO_DIESEL,1
SUV_BIODIESEL_B100_MD,BIO_DIESEL,1
SUV_BIODIESEL_B100_SD,BIO_DIESEL,1
SUV_BIODIESEL_B20_ELD,BIO_DIESEL,1
SUV_BIODIESEL_B20_LD,BIO_DIESEL,1
SUV_BIODIESEL_B20_MD,BIO_DIESEL,1
