Name,Activity name,Activity code,Amount
AFC,"electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",p67b1cd6zd1c3g15flokmdc8w5aw305h,1.0
ALKALINE_ELECTROLYSIS,"hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",qs8ngdsyg0bnex0q70ix24k2jw9ag5xk,1.0
AL_MAKING,"aluminium production, primary, ingot",a3ne0ahddnug5r5eui0ikf1af0a3aihp,1.0
AL_MAKING_HR,"aluminium production, primary, ingot",wq7r4yf2pxo3jj0engfmsj8cfwv5lgs9,1.0
AN_DIG,anaerobic digestion of manure,tgo4v398aojiwt3nbq41hqyzo7rcxw0y,1.0
AN_DIG_SI,anaerobic digestion of manure,zwx7pz0hf4o7o6rrgcyrxk21ec0bx7o7,1.0
ATR,"hydrogen production, auto-thermal reforming",wt7ymprtauv0pg9t4wy09gxfikyo3kyh,1.0
ATR_CCS,"hydrogen production, auto-thermal reforming, with CCS",8fouq0nfw61767mpwyls156xnupwng0p,1.0
BIOGAS_ATR,"hydrogen production, auto-thermal reforming, from biomethane",1m6ejj6yam95e5grcdcovhrqjhqd6el1,1.0
BIOGAS_ATR_CCS,"hydrogen production, auto-thermal reforming, from biomethane, with CCS",mo9hq9b3flay69mo32d7193hlh83ctri,1.0
BIOGAS_BIOMETHANE,"biomethane production, from biogas upgrading, using amine scrubbing",py99125nowy82ggcfjvzkk9i683va5f7,1.0
BIOGAS_SMR,"hydrogen production, steam methane reforming, from biomethane",v288dptxcb7pf7g9odb9lp49j3i46qkq,1.0
BIOGAS_SMR_CCS,"hydrogen production, steam methane reforming, from biomethane, with CCS",pdufvodzbxi7z013ns5te32sl8s5l9fg,1.0
BIOMASS_GAS_EF_H2,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",fna03mdxus1xy4dukgojuhf8fcidgvxg,1.0
BIOMASS_GAS_EF_H2_CCS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",mxwp8dhdm10uex18xxxvnlxl7mex9kvn,1.0
BIOMASS_GAS_FB_H2,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",yyda2zl3e8x3013mj7ramu6jogdscqg2,1.0
BIOMASS_GAS_FB_H2_CCS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",u6nl2vrf674l1qy7at9o2f4xyup1m97c,1.0
BUS_BIODIESEL_B100_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",uebxf0q5g8kkjcl8mpejnd2ibchtahv9,1.0
BUS_BIODIESEL_B20_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",1fzg5ljbi3jyyk4nmiz5bjqbtj0rgibt,1.0
BUS_CNG_SD,"transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",4sjhigy1ih25md0krtvp3pkfo5u58qda,1.0
BUS_DIESEL_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",la1t7d7xkxwfjpdftokm6efp5xsuzabe,1.0
BUS_EV_SD,"transport, passenger bus, battery electric - overnight charging, 13m double deck urban bus",f5mwb22oked30bz7qvqfhauj9518r2y1,1.0
BUS_FC_H2_SD,"transport, passenger bus, fuel cell electric, 13m double deck urban bus",k8whkjkq4r3wgzvnltefwbuwd1qnp9ky,1.0
BUS_GASOLINE_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",qg0poiheg0ljl5r2nre6kwxfkr0rq96s,1.0
BUS_HY_DIESEL_SD,"transport, passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI",elcu8azx3jktxofex01idhbwjohom2mb,1.0
BUS_PROPANE_SD,"transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",ev1l24k3quktrk5lnthmnt3iibjv0ivv,1.0
CAR_BIODIESEL_B100_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",j2tvktqvnq090x981k9n8rvcm3q8hnh7,1.0
CAR_BIODIESEL_B100_LD,"transport, passenger car, diesel, Medium, EURO-6ab",uhds8qshgsux8bnt2dwarl3xvln6ta2l,1.0
CAR_BIODIESEL_B100_MD,"transport, passenger car, diesel, Medium, EURO-6ab",mzgizwpdwz6h2tu5yuwm4ob1ie6j82ps,1.0
CAR_BIODIESEL_B100_SD,"transport, passenger car, diesel, Medium, EURO-6ab",ecrpgj74fr89m23lbftoxpjj3jq2epw0,1.0
CAR_BIODIESEL_B20_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",uvvzfcdeqb5ezorh9a8739qvpa9ptsrv,1.0
CAR_BIODIESEL_B20_LD,"transport, passenger car, diesel, Medium, EURO-6ab",djzmw368115bp9t44ehjqtcajnlcpfoo,1.0
CAR_BIODIESEL_B20_MD,"transport, passenger car, diesel, Medium, EURO-6ab",ja7d3tzjej94561c1wtruszk0f9kkjip,1.0
CAR_BIODIESEL_B20_SD,"transport, passenger car, diesel, Medium, EURO-6ab",idwlvppm8y2s1tn8b5kpdodlx56gs417,1.0
CAR_CNG_ELD,"transport, passenger car, compressed gas, Medium, EURO-6ab",g4c6dq260koek72lbyjvzfcux9k0aqua,1.0
CAR_CNG_LD,"transport, passenger car, compressed gas, Medium, EURO-6ab",r8vcvcud22yye4dbn2b2wd5u6r52ujjn,1.0
CAR_CNG_MD,"transport, passenger car, compressed gas, Medium, EURO-6ab",fg5x2anpyvt0lnnb1c5zv6asp9fb28xb,1.0
CAR_CNG_SD,"transport, passenger car, compressed gas, Medium, EURO-6ab",oixnz0pnoa18egnoe8thcnu0q11nnq4d,1.0
CAR_DIESEL_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",rup9p6xmv6x0o74zcl54zruwplz6vd39,1.0
CAR_DIESEL_LD,"transport, passenger car, diesel, Medium, EURO-6ab",xhuwu45kts6jjloosf1thlugn8m8h3zw,1.0
CAR_DIESEL_MD,"transport, passenger car, diesel, Medium, EURO-6ab",8gyhkqmz5gx4smjhrgtbs3ueb3wa91ez,1.0
CAR_DIESEL_SD,"transport, passenger car, diesel, Medium, EURO-6ab",zyctbseqx4gb8wfwu4ypzl92ovh517ky,1.0
CAR_ETOH_E10_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",04qylykduz8qieou5cmrgiqdtc060to0,1.0
CAR_ETOH_E10_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",1guiur88c6mc9rgzklwmnk0jerkzv1dc,1.0
CAR_ETOH_E10_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",8g4vjw1d8t5hy1nbdcuy6vvdj9fodkbf,1.0
CAR_ETOH_E10_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",sdapfofr778cud226rpjler1pgtnm1v2,1.0
CAR_ETOH_E85_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",qwbowc7g91nl4n26xzc4d37semptx6yt,1.0
CAR_ETOH_E85_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",85uoahi3gxd40bj1jiba73gdomtu5v13,1.0
CAR_ETOH_E85_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",2lvj0jv8q4jey95dz6x2zyywjppsecui,1.0
CAR_ETOH_E85_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",7t9c06qsb7o4k9d3pxuyap54kuyleqg3,1.0
CAR_EV_ELD,"transport, passenger car, battery electric, Medium",62ixtnjtpnocyx78lyrpbcdhio071fmn,1.0
CAR_EV_LD,"transport, passenger car, battery electric, Medium",fwplk3c2x5lsjfl590ysvgqj77z46h5e,1.0
CAR_EV_MD,"transport, passenger car, battery electric, Medium",k8vrphr3ry0ngi6cmrjd90h41s7hcv57,1.0
CAR_EV_SD,"transport, passenger car, battery electric, Medium",n7tql7t6hocwqwunc3taha65w339vm61,1.0
CAR_FC_H2_ELD,"transport, passenger car, fuel cell electric, Medium",ecr4g68yj59kq6auoths9adpcp5scmu1,1.0
CAR_FC_H2_LD,"transport, passenger car, fuel cell electric, Medium",8hdkjspz4u1udpk5hhgv5o17hf5ewwke,1.0
CAR_FC_H2_MD,"transport, passenger car, fuel cell electric, Medium",ag97xqop9fxxrsftf47jf589qsrn5z92,1.0
CAR_FC_H2_SD,"transport, passenger car, fuel cell electric, Medium",j85nwmhvnmwfom9fwfjf4wytrzxd6b3y,1.0
CAR_GASOLINE_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",lgoluisfpve7gr5yajuk3vhbdxru2nab,1.0
CAR_GASOLINE_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",77n2tcpztni9ub3sndvcp3ue98jxqi3r,1.0
CAR_GASOLINE_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",ts41rg00knneegdv92ciugphpmtbdjdn,1.0
CAR_GASOLINE_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",qat344vyno5istazxj9q4pgqzq08l60g,1.0
CAR_HEV_ELD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",l9n6zixuqh4avtv6bp2xd6oy0d1ykepu,1.0
CAR_HEV_LD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",7ymzcvhu7mcc4itvjh8xeey1djgjz5oh,1.0
CAR_HEV_MD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",l6147if6cjrsfv0rfvijqkj027kfyt69,1.0
CAR_HEV_SD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",0b9nacgjhx2q1tasls7ccdb5w82lv9h8,1.0
CAR_MEOH_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",ezf6ln5y522xpja31gttpcte8x9nb9lg,1.0
CAR_MEOH_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",4ztn8z6l1nj8vzwq3fddbtxq3par77x0,1.0
CAR_MEOH_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",mbz41xdrdu29f4bg2066zynh73ocwe08,1.0
CAR_MEOH_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",v079mfu781x2x3nlfotqkpklnqeui5hn,1.0
CAR_PHEV_ELD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",gqlvi70e0u038lwg9t74xbsqhrmn0u4e,1.0
CAR_PHEV_LD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",d5gv92ec897eywmyyequnrydpqiskw0i,1.0
CAR_PHEV_MD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",8bfol5w60oxe9u1b1uiohttyuo5c5qgw,1.0
CAR_PHEV_SD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",yn26e0x46fw6gclhf0seox5r9f6mf58t,1.0
CAR_PROPANE_ELD,"transport, passenger car, compressed gas, Medium, EURO-6ab",6vyymdwuamli790z8ra7he5jbv88i287,1.0
CAR_PROPANE_LD,"transport, passenger car, compressed gas, Medium, EURO-6ab",mextsvo72c00vp5kb9y635z6vkwyhy39,1.0
CAR_PROPANE_MD,"transport, passenger car, compressed gas, Medium, EURO-6ab",qg47swv8kogyawy356910wzasqrdsr46,1.0
CAR_PROPANE_SD,"transport, passenger car, compressed gas, Medium, EURO-6ab",vceucce73wsgh5gx7jsfp83dhk07dvlb,1.0
CCGT,"electricity production, at natural gas-fired combined cycle power plant",x6wt3z60ztprqtp1tlsjytz3edf0mnfk,1.0
CCGT_CC,"electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m",args9ftuc8or65es5wgvlzxrzludpa91,1.0
CEMENT_PROD,"cement production, CEM II/B",0o3wvyerymebosoeivt18pf7vd47yw7k,1.0
CEMENT_PROD_HP,"cement production, CEM II/B",cpakb4rlub21t2cziwi0fmgba2ur5bf2,1.0
CO2_METHANOL,"methanol production, natural gas reforming",35s79dftvli1isoispothvjc3d0ktu3b,1.0
CO2_TO_DIESEL,"diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation",8ojzqi3qkc43pqbp9c232z1dur5p3uvu,1.0
CO2_TO_DIESEL,"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",50rpjcatrf7d0xern7irhvayiduh6063,2.26
CO2_TO_JETFUELS,"kerosene production, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation",uw4pnn7w0xpyg2vxbjliz5njz9kpc0w1,1.0
CO2_TO_JETFUELS,"methanol synthesis and distillation, hydrogen from electrolysis, CO2 from cement plant",58zgv49whn9w1j48qvtjc4v4c02d1uvj,2.373
COACH_BIODIESEL_B100_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",h0x7fdq0t566l4h506zrvcba3isj4bfz,1.0
COACH_BIODIESEL_B100_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",vypqj3jw048imgnih0hgxkbscv4k8lz4,1.0
COACH_BIODIESEL_B100_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",98cmvn7ghqqutrcofy95iv1lr6d2jad2,1.0
COACH_BIODIESEL_B20_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",3xe4z3bw9zsk1dowuox5dzl3x9dqcd6v,1.0
COACH_BIODIESEL_B20_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",tqshsjlwrlftgg85m3gy1442armcbhdp,1.0
COACH_BIODIESEL_B20_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",w7xh8mqtnbrt7c7stek2u5e12j8sph4s,1.0
COACH_CNG_ELD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",xi5nubm7fgfkg4o348amzxubilo7oewt,1.0
COACH_CNG_LD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",txtphsnk23cg2tpqwf6cf3wpm77ym12p,1.0
COACH_CNG_MD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",u2s5ayzlzovfgygsd7veu7wlaa74ezlv,1.0
COACH_DIESEL_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",bav39aa786leywyavov74xui72oj2cno,1.0
COACH_DIESEL_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",gt0bjvw0lwymwbpqb3sbxje8gonx250w,1.0
COACH_DIESEL_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",39bm9ld9welg88zm21xfy0rkbmmmp5k7,1.0
COACH_ETOH_E10_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",r6dcyytzkebjib09x1s9t168vtdzz62j,1.0
COACH_ETOH_E10_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",00eeybht1fgkixz9strg2e5uutikci6b,1.0
COACH_ETOH_E10_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",a1in74756i78d5teom3ryiukh539obkv,1.0
COACH_EV_ELD,"transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",yhbym6turfn48izveoe8csixb4wgsjpg,1.0
COACH_EV_LD,"transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",zgnpnw67t6autumq3r7s2du6kxlexvsc,1.0
COACH_EV_MD,"transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",gscurpdncz9w5wefxzuv5ooktqyzn3o3,1.0
COACH_GASOLINE_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",w0m9rq0oxwtywfmjqy1ymr0y0c7328x6,1.0
COACH_GASOLINE_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",ztm89i5mv900dr0srh8vseiskqvlgimn,1.0
COACH_GASOLINE_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",zi9ph9k9orkc74j1i88rd2pv34119lc8,1.0
COACH_HY_DIESEL_ELD,"transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",jsw0j7e57xckitufyp1s8oywyn000qxj,1.0
COACH_HY_DIESEL_LD,"transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",vqg7bfwgfysu3t3phvxel926a6j66m6q,1.0
COACH_HY_DIESEL_MD,"transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",1eup8p69r1023kg4jedgeqvdvg7z3ife,1.0
COACH_PROPANE_ELD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",yu9o6swi6jhq7r56fztkj6r7un6dlaxa,1.0
COACH_PROPANE_LD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",nya0rkc5gdvrqd1yeiue2x3rx1ucztz5,1.0
COACH_PROPANE_MD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",t3zatlg047lsslh1kj13ql8ib4zble46,1.0
COAL_GAS_H2,"hydrogen production, coal gasification",aee82pqe36vh0mzp05ktr54sez40nl6o,1.0
COAL_GAS_H2_ADV,"hydrogen production, coal gasification",axjwgnyjjyxfxboh1yo4qtwd591anlb8,1.0
COAL_GAS_H2_ADV_CCS,"hydrogen production, coal gasification, with CCS",zxu45u7xb1u54na7zflsgb7wcz5omuir,1.0
COAL_GAS_H2_CCS,"hydrogen production, coal gasification, with CCS",049klz8t71tvm6288viflnr9u393b2xb,1.0
COAL_IGCC,"electricity production, at hard coal-fired IGCC power plant",jzbalp5ysdfx5ogpye764ny7mc5m8jp6,1.0
COAL_IGCC_CC,"electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m",yz2pjcf2szj8mqt6fby4trj8t748y3yv,1.0
COAL_US,"electricity production, at lignite-fired power plant, pulverised",ywtkm8k470lel8l3le2v3xe1rhwqgwve,1.0
COAL_US_CC,"electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m",qzc8a21o1wfj0v3pa7fd5art0wv7kmco,1.0
