Name,Type,Product,Activity,Location,Database,Current_code,New_code
AFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,fd90a84b43ac47f8a6514fe4b397a81b,hsiz7srre0y25u5rfyaszk88lhnu7vt5
AFC,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",CH,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,d4ed0577a70a43c5be59bcb2c699976e,p67b1cd6zd1c3g15flokmdc8w5aw305h
ALKALINE_ELECTROLYSIS,Operation,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,23916a14706c4d13967996bd556d6294,qs8ngdsyg0bnex0q70ix24k2jw9ag5xk
ALKALINE_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccd29ba-f2d9-11ef-bdfb-7cb566b53d2f,tz0u82aclg9p8lnd5izwr2vqimi4suhf
ALKALINE_ELECTROLYSIS_PLANT_DECOM,Construction,"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccd5bab-f2d9-11ef-bc6b-7cb566b53d2f,kgc4cg47ic0z7wvie9q8bmba6dj7s765
ALKALINE_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6cccbf90-f2d9-11ef-af95-7cb566b53d2f,v0yvkuynd0yalfmcb2ifla3oy22ffrvl
ALKALINE_ELECTROLYSIS_STACK_DECOM,Construction,"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccd29bb-f2d9-11ef-ac36-7cb566b53d2f,a5b1vhnaoyjgiwhzfaidhtfy1vfxgxij
AL_MAKING,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,355da328ce48c041ad7ade23bc3c6c5b,y3oshrbj03o21l0pbdpxtq3v0pnypnvw
AL_MAKING,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,0abaefd454696b4566e1c589a2671c82,a3ne0ahddnug5r5eui0ikf1af0a3aihp
AL_MAKING_HR,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,355da328ce48c041ad7ade23bc3c6c5b,4z7vnboxguq9wqaed7wbucz3mrmo33le
