Name,Activity name,Activity code,Amount
AFC,"electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",73o4bllvdrashd1kpkywsa58vehbafrz,1.0
ALKALINE_ELECTROLYSIS,"hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",ndbgzkd122x39ybgy9dfu359gibn68y4,1.0
AL_MAKING,"aluminium production, primary, ingot",njsgb2shwaq6m9egbqzjtrah7e2mie4t,1.0
AL_MAKING_HR,"aluminium production, primary, ingot",t5g4ibonr08d7nqpvwhjjbwxqo2hb4wa,1.0
AN_DIG,anaerobic digestion of manure,nwbowix67y7b8vmbdm5jracrjhqo7ozj,1.0
AN_DIG_SI,anaerobic digestion of manure,n18u5lbtyehab10fzbbu7zkcy8ab76m2,1.0
ATR,"hydrogen production, auto-thermal reforming",9ib6usfnv15w8umzwpr7ezrh0urlcdxt,1.0
ATR_CCS,"hydrogen production, auto-thermal reforming, with CCS",gt359qa2lcktj8qt2mbfnopxt8vdxaou,1.0
BIOGAS_ATR,"hydrogen production, auto-thermal reforming, from biomethane",zuxlw9uwm1i9hiys04wyfmxivcm3tx50,1.0
BIOGAS_ATR_CCS,"hydrogen production, auto-thermal reforming, from biomethane, with CCS",nggiehrce2mvmuth8nmg9kaevvrd8m1e,1.0
BIOGAS_BIOMETHANE,"biomethane production, from biogas upgrading, using amine scrubbing",w26bzli6dq58knhurxp2lop3nl57q4s3,1.0
BIOGAS_SMR,"hydrogen production, steam methane reforming, from biomethane",4hhyhnwa16x2zxr25imceuznwkwi0jrc,1.0
BIOGAS_SMR_CCS,"hydrogen production, steam methane reforming, from biomethane, with CCS",ifvk1dh68ezz0r7w8rmdhd45n5ptbogc,1.0
BIOMASS_GAS_EF_H2,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",ntn64rpneo745mvhc1eqmetxof6rills,1.0
BIOMASS_GAS_EF_H2_CCS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",27hzeicra0ofzve8d82lu3e3zfoxufap,1.0
BIOMASS_GAS_FB_H2,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",30hilxuda91l4pyxcsqfe5qpnon6694x,1.0
BIOMASS_GAS_FB_H2_CCS,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",m2zpsnubuh4hkp94mo6o5c0fjlxnl185,1.0
BUS_BIODIESEL_B100_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",gdy3nzzvwvmwvnl4vulfp4ziis2i4q62,1.0
BUS_BIODIESEL_B20_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",aj3q2r5mb1glt7cty4cd8ivlgd36mmsx,1.0
BUS_CNG_SD,"transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",bhsixuc81hr7jt4nnxk5fl722e30ozqq,1.0
BUS_DIESEL_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",7fi5khs22fzek8ghf6x7wdksn5n7owua,1.0
BUS_EV_SD,"transport, passenger bus, battery electric - overnight charging, 13m double deck urban bus",topngzz1z26nn8xlr07qa1somk0sfxnr,1.0
BUS_FC_H2_SD,"transport, passenger bus, fuel cell electric, 13m double deck urban bus",30tec1flen78wwf4g9eko5zmo218xevv,1.0
BUS_GASOLINE_SD,"transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",ql60x52ixmk0i1v0dopgpclalgjz5vim,1.0
BUS_HY_DIESEL_SD,"transport, passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI",76i49dshl2cbpv3vb8c3yba278zcmsfk,1.0
BUS_PROPANE_SD,"transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",olbu9ibvd2eejc9vl0yuq8ma60y8nbxi,1.0
CAR_BIODIESEL_B100_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",0osxlisfqn00bipns6zsipgicvqiptjq,1.0
CAR_BIODIESEL_B100_LD,"transport, passenger car, diesel, Medium, EURO-6ab",p7p7i7gboiiyv7emzi6sgyi3k4lgxzk5,1.0
CAR_BIODIESEL_B100_MD,"transport, passenger car, diesel, Medium, EURO-6ab",agxswxd8arf25kn704fm5adzmlhl50qv,1.0
CAR_BIODIESEL_B100_SD,"transport, passenger car, diesel, Medium, EURO-6ab",f31stvo6omytnckehryhzi6eqg777wn3,1.0
CAR_BIODIESEL_B20_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",iyc2xgsj91g63qdn3a9ibxqfddnnfxwi,1.0
CAR_BIODIESEL_B20_LD,"transport, passenger car, diesel, Medium, EURO-6ab",u9dimsz1tmp2egwt3zb1rxd5x38aquvf,1.0
CAR_BIODIESEL_B20_MD,"transport, passenger car, diesel, Medium, EURO-6ab",vy1tc09mwjsd61q3h6l16dgcy2irklj8,1.0
CAR_BIODIESEL_B20_SD,"transport, passenger car, diesel, Medium, EURO-6ab",5n0gzyhihzotcgxwytpla6y66ykspojf,1.0
CAR_CNG_ELD,"transport, passenger car, compressed gas, Medium, EURO-6ab",v3sa1uzfgi1l76qvz3nnl31d614orhkq,1.0
CAR_CNG_LD,"transport, passenger car, compressed gas, Medium, EURO-6ab",ekhxlfbj3jpvuw86ma4k4lrbk012ob6s,1.0
CAR_CNG_MD,"transport, passenger car, compressed gas, Medium, EURO-6ab",k8nqsmaibpq4dqefpjexau8jtiy0yv0b,1.0
CAR_CNG_SD,"transport, passenger car, compressed gas, Medium, EURO-6ab",qnreibkbj8qdbbqfu3hg5t4cf06yhjyk,1.0
CAR_DIESEL_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",pik6qazdsszbq3x5x28y1m30c4nt8zl4,1.0
CAR_DIESEL_LD,"transport, passenger car, diesel, Medium, EURO-6ab",chrs2m8f93bhbkewto0ubmz9v0dplpjl,1.0
CAR_DIESEL_MD,"transport, passenger car, diesel, Medium, EURO-6ab",l3nmfb7ee3thsx9qiqs2nyadk44toayg,1.0
CAR_DIESEL_SD,"transport, passenger car, diesel, Medium, EURO-6ab",lxpahxvkl83vbnib0hdejmv32zkcmq3h,1.0
