Name,Type,Product,Activity,Location,Database,Current_code,New_code
AFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,86ed6a5b54b74a0797de79b59ad9610d,phhhxdtrjyc8or1rv7a39ze6cm7wqr06
AFC,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",CH,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,588422acbc6745c6a347d3556e52dc5d,aqb8jkmpww67lu7391uhhtdhs3lnzy70
ALKALINE_ELECTROLYSIS,Operation,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,e96b9a636d82443cbb48ebf07597669a,m0n9mwy137gk41p4c4uowvy0accr39oc
ALKALINE_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,ccb62cc4-ac13-11ef-abcb-7cb566b53d2f,sgtqc6vohayr7sezh16mcxpwxksw2r60
ALKALINE_ELECTROLYSIS_PLANT_DECOM,Construction,"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,ccb62cc6-ac13-11ef-99b2-7cb566b53d2f,zryjeen4xt0gheod3o3xtzkum1byovui
ALKALINE_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,ccb62cc3-ac13-11ef-9c35-7cb566b53d2f,rx1ktz72f4s61r5e98qh5tp0cc97x2x9
ALKALINE_ELECTROLYSIS_STACK_DECOM,Construction,"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,ccb62cc5-ac13-11ef-8d32-7cb566b53d2f,60dt42mo8n27ls075m4jexjr58fm6s69
AL_MAKING,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,9425121f60904bb29a319577b48dde1b,7jwlj7a7sqccbbkfli64z7e1hb5piwmk
AL_MAKING,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,69e99b7b67e10fb59384a0dd9ef3851d,nw3kjhbr5qe98bl9oyrt8x0mxzy3290s
AL_MAKING_HR,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,9425121f60904bb29a319577b48dde1b,3zdiszyqlyyjl8xblzo5mn5h7gav6lbm
AL_MAKING_HR,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,69e99b7b67e10fb59384a0dd9ef3851d,xlcw6ieosiao1vtsyi37niyfnfgdwdvb
AN_DIG,Operation,biogas,anaerobic digestion of manure,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,308824d47a54104b205925b44d7348a5,uxhxj1a8burghgej7cr788kcb2hzgklo
AN_DIG,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,049cfd34b63f680965c3e770580f5091,453lwr0kjtj8w17gh2inghud0k9r15z9
AN_DIG_SI,Operation,biogas,anaerobic digestion of manure,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,308824d47a54104b205925b44d7348a5,5s8czi0bgaqxwripfudqx0ao3a2v8dwa
AN_DIG_SI_COGEN,Construction,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 160kW electrical, common components for heat+electricity",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7efe1a54bf4cd09aaa800efce35eb677,9vhssss0651550g9eln489peojo7h3vf
AN_DIG_SI_PLANT,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,049cfd34b63f680965c3e770580f5091,6p8ew6fpko266qv538l71zfz1nvkvo96
