Name,Type,Product,Activity,Location,Database,Current_code,New_code
AFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,fd90a84b43ac47f8a6514fe4b397a81b,yytrzegcyghznqp8bzdzzgdxmyiy0fx5
AFC,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",CH,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,d4ed0577a70a43c5be59bcb2c699976e,73o4bllvdrashd1kpkywsa58vehbafrz
ALKALINE_ELECTROLYSIS,Operation,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,f63917e2544a4def9728e86b587e4f1c,ndbgzkd122x39ybgy9dfu359gibn68y4
ALKALINE_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,d4d3cf8983f84b5a8ffd1c54a90b6a50,pkjcz090qogscyfvypfzwcqiv1agm4w5
ALKALINE_ELECTROLYSIS_PLANT_DECOM,Construction,"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,7187c0d4d29e4d19929f9e79341d3ca9,ubgpimo6prr5g0glb6g9dwffrsas2qpz
ALKALINE_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,e6939527642549b9aa2dda836dd310a3,bg4xlymg1efrqs54i16tge0n5l3hikbt
ALKALINE_ELECTROLYSIS_STACK_DECOM,Construction,"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,bc295a1c0a914362a0b8305f595f6d32,ph2w1dm5tv4lealylh2zhbbhu3c5hqt2
AL_MAKING,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,355da328ce48c041ad7ade23bc3c6c5b,ohb5bi3sncuyzg1n6k0m0gi1d1etmvtd
AL_MAKING,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,0abaefd454696b4566e1c589a2671c82,njsgb2shwaq6m9egbqzjtrah7e2mie4t
AL_MAKING_HR,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,355da328ce48c041ad7ade23bc3c6c5b,58k4wykfzwg3t4z8tq8dyn3723r1km7n
AL_MAKING_HR,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,0abaefd454696b4566e1c589a2671c82,t5g4ibonr08d7nqpvwhjjbwxqo2hb4wa
AN_DIG,Operation,biogas,anaerobic digestion of manure,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,c663a0b953a5182e7596fac6f8538843,nwbowix67y7b8vmbdm5jracrjhqo7ozj
AN_DIG,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,04a5812be0e66793ff1df959f2a41f56,hli1k8s7cnddv37eubltyo5pt9jrx2di
AN_DIG_SI,Operation,biogas,anaerobic digestion of manure,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,c663a0b953a5182e7596fac6f8538843,n18u5lbtyehab10fzbbu7zkcy8ab76m2
AN_DIG_SI_COGEN,Construction,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 160kW electrical, common components for heat+electricity",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,20cb043006cbe008020dade37ca3aa17,201gkpj57cby8ktqq422vholmyxwyly7
AN_DIG_SI_PLANT,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,04a5812be0e66793ff1df959f2a41f56,5bx7p9dkzkz4z2bzjq5c2aajgvxs3sfl
ATR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,69eabb04edf344b188f3afe21daac65d,9ib6usfnv15w8umzwpr7ezrh0urlcdxt
ATR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, with CCS",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,17fed1d0615f4b98af6d5c53187b8f69,gt359qa2lcktj8qt2mbfnopxt8vdxaou
ATR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,e0a3pgr6szjm2rblqa191mc9myedatg0
ATR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,973fdgmlubk2v1bmdg8sjc0pzny5f6zo
ATR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,wae6vh5atb8qcnesq9vt3f4a8oo8jka8
ATR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,r63z83i5t0ogl97ydvft36fkclh4n4zb
BATTERY,Construction,"battery, Li-ion, LiMn2O4, rechargeable, prismatic","market for battery, Li-ion, LiMn2O4, rechargeable, prismatic",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,3c82a8f9583f736f774d2e8c05da1705,cnunkh3cw98n41cs51b1kyf8wf1gl891
BIOGAS_ATR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,ac0fb2073b1340eb8c777d9f80b629e5,zuxlw9uwm1i9hiys04wyfmxivcm3tx50
BIOGAS_ATR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane, with CCS",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,d107c6009d344f368e547c537d350b8b,nggiehrce2mvmuth8nmg9kaevvrd8m1e
BIOGAS_ATR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,mkeqye7fe9zvok174bf56octvcy6oaqk
BIOGAS_ATR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,rbh3f8bb4wudsl572xlb0olxio7b75w5
BIOGAS_ATR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,iiylu8byo2idozpwxi6d1flifls1flh1
BIOGAS_ATR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,an1rcgt24at8xkulvx1164da1kyxarp1
BIOGAS_BIOMETHANE,Construction,"chemical factory, organics","market for chemical factory, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,0caadf825196adf0845e429dd2470608,pwj7ih67dsph8blciemsunvp8rr2c7k6
BIOGAS_BIOMETHANE,Operation,"biomethane, from biogas upgrading, using amine scrubbing","biomethane production, from biogas upgrading, using amine scrubbing",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,8b313614f8994dc58b3e1c86a2bf2cf8,w26bzli6dq58knhurxp2lop3nl57q4s3
BIOGAS_SMR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,520e715e3ef34dcebe3a8a397c1b66c3,4hhyhnwa16x2zxr25imceuznwkwi0jrc
BIOGAS_SMR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane, with CCS",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,096a4fb9a40c4155853dc61828f19792,ifvk1dh68ezz0r7w8rmdhd45n5ptbogc
BIOGAS_SMR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,33jlzmht5m7770czc3bf1e2wdwod8atm
BIOGAS_SMR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,hnc1jwutp60ww55ym864wgwegzhs7la8
BIOGAS_SMR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,625bdaed6924e06524787bd5a63474cb,nb2uwf2vz0dwwd5ai4oadmgtmbcszowu
BIOGAS_SMR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,wv4xhdnuc7vsxkmikckgunbd9jrmj5pc
BIOMASS_GAS_EF_H2,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,dec60f3d7520438289853ca9f3465c86,ntn64rpneo745mvhc1eqmetxof6rills
BIOMASS_GAS_EF_H2_CCS,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,5e00c4768534404ea8035d8ef11a0282,27hzeicra0ofzve8d82lu3e3zfoxufap
BIOMASS_GAS_EF_H2_CCS_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,bb25d7d5a910c82b64f71d8fd879058b,gbmyupz12mfxuzp6y7xuqx40e2ulhop3
BIOMASS_GAS_EF_H2_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,1nlgfrar82l9fapwdb7s7myphf2jnrfq
BIOMASS_GAS_EF_H2_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,bb25d7d5a910c82b64f71d8fd879058b,0m1fuwfgv1tjomj7kj5edgegtmtu8uoo
BIOMASS_GAS_EF_H2_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,rt1lqg8wcrlxfse41k5c56a4c5w98kqq
BIOMASS_GAS_FB_H2,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,dec60f3d7520438289853ca9f3465c86,30hilxuda91l4pyxcsqfe5qpnon6694x
BIOMASS_GAS_FB_H2_CCS,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,5e00c4768534404ea8035d8ef11a0282,m2zpsnubuh4hkp94mo6o5c0fjlxnl185
BIOMASS_GAS_FB_H2_CCS_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,bb25d7d5a910c82b64f71d8fd879058b,exa5iiadq1y22pol9betheyijyhj0c3k
BIOMASS_GAS_FB_H2_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,7pisknrmqofxltt012oshtq01qol20s4
BIOMASS_GAS_FB_H2_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,bb25d7d5a910c82b64f71d8fd879058b,0ybab3es5qmxrjvhr4lt4w8w6rh6enc4
BIOMASS_GAS_FB_H2_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,11f54712be0fddb1ec05efc53d62a839,3mu5xnvypsu96tg6kwc6trmk32bndg7h
BUS_BIODIESEL_B100_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,e92a7070264a43589a4b78290912f91d,gdy3nzzvwvmwvnl4vulfp4ziis2i4q62
BUS_BIODIESEL_B100_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,403c15e9454c43c78f924e83dc8884cd,qz587uv4c6zwqafwizzuzl2uh920ki48
BUS_BIODIESEL_B20_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,e92a7070264a43589a4b78290912f91d,aj3q2r5mb1glt7cty4cd8ivlgd36mmsx
BUS_BIODIESEL_B20_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,403c15e9454c43c78f924e83dc8884cd,w0q6rub4jw375ombyx3bfkipub4d5zp6
BUS_CNG_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2050+truck_carculator regionalized_wo_bg,46d27da211854dfeb9fbeaec893f6547,bhsixuc81hr7jt4nnxk5fl722e30ozqq
