Impact_category,New_code,Value,Name,Type
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",yytrzegcyghznqp8bzdzzgdxmyiy0fx5,3744.316938473108,AFC,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",yytrzegcyghznqp8bzdzzgdxmyiy0fx5,0.052368029308928275,AFC,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",yytrzegcyghznqp8bzdzzgdxmyiy0fx5,23656.93857446444,AFC,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",ohb5bi3sncuyzg1n6k0m0gi1d1etmvtd,383.3785741052459,AL_MAKING,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",ohb5bi3sncuyzg1n6k0m0gi1d1etmvtd,0.003668200870078991,AL_MAKING,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",ohb5bi3sncuyzg1n6k0m0gi1d1etmvtd,2406.042292558205,AL_MAKING,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",58k4wykfzwg3t4z8tq8dyn3723r1km7n,383.3785741052459,AL_MAKING_HR,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",58k4wykfzwg3t4z8tq8dyn3723r1km7n,0.003668200870078991,AL_MAKING_HR,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",58k4wykfzwg3t4z8tq8dyn3723r1km7n,2406.042292558206,AL_MAKING_HR,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",hli1k8s7cnddv37eubltyo5pt9jrx2di,1367.737770960753,AN_DIG,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",hli1k8s7cnddv37eubltyo5pt9jrx2di,0.014000600950530401,AN_DIG,Construction
